relative_minutes,T1,T2,T3,T4,PC1,PC2,PC3,total_cpu_rate
10,0.043619387,0.999048222,0.006233278,0.999980573,0.885411996,0.30164958,0.873161094,2198.808509
11,0.047978129,0.998848386,0.006856597,0.999976493,0.854557695,0.283627636,0.858422216,2201.561891
12,0.052335956,0.998629535,0.007479913,0.999972025,0.820967794,0.265772843,0.843965039,2191.524483
13,0.056692788,0.998391671,0.008103226,0.999967168,0.991183629,0.339713679,0.884832836,2282.744566
14,0.06104854,0.998134798,0.008726535,0.999961923,1.006549681,0.348759643,0.887997253,2316.485796
15,0.065403129,0.997858923,0.009349842,0.999956289,1.071402587,0.393794705,0.953186898,2311.914909
16,0.069756474,0.99756405,0.009973145,0.999950267,0.944288649,0.335769708,0.92508771,2290.041676
17,0.07410849,0.997250185,0.010596444,0.999943856,0.88360022,0.308290485,0.902311599,2278.964011
18,0.078459096,0.996917334,0.011219738,0.999937057,0.868967763,0.300160226,0.890844101,2254.745334
19,0.082808208,0.996565502,0.011843029,0.999929869,0.898725676,0.31145237,0.882623184,2255.847518
20,0.087155743,0.996194698,0.012466315,0.999922292,0.867519765,0.288449893,0.83783168,2253.862016
21,0.091501619,0.995804928,0.013089596,0.999914328,0.8516589,0.28062548,0.829058091,2247.614945
22,0.095845753,0.995396198,0.013712871,0.999905974,0.793667945,0.24804327,0.809685024,2222.398126
23,0.100188062,0.994968518,0.014336142,0.999897232,0.919846584,0.299967958,0.84635941,2236.746571
24,0.104528463,0.994521895,0.014959407,0.999888102,1.478197659,0.539569238,1.029451154,2338.187008
25,0.108866875,0.994056338,0.015582666,0.999878583,1.576429368,0.609538559,1.071618036,2912.086131
26,0.113203214,0.993571856,0.016205919,0.999868675,1.615805158,0.624201499,1.080170895,2912.162118
27,0.117537397,0.993068457,0.016829166,0.99985838,1.795504992,0.699739968,1.139631991,2915.996029
28,0.121869343,0.992546152,0.017452406,0.999847695,1.719243305,0.659469977,1.089874375,2881.985447
29,0.126198969,0.99200495,0.01807564,0.999836622,1.470640471,0.544436786,0.983184323,2835.570098
30,0.130526192,0.991444861,0.018698866,0.999825161,1.234930984,0.435086585,0.885124564,2705.040979
31,0.13485093,0.990865897,0.019322086,0.999813311,1.099782226,0.374871259,0.841772313,2685.668873
32,0.139173101,0.990268069,0.019945297,0.999801073,1.068261937,0.360850129,0.833605122,2676.97333
33,0.143492622,0.989651387,0.020568501,0.999788446,1.045217997,0.349464417,0.820445084,2666.18078
34,0.147809411,0.989015863,0.021191697,0.999775431,1.01972147,0.336790989,0.803020528,2654.722905
35,0.152123386,0.98836151,0.021814885,0.999762027,1.139300104,0.390516061,0.886134001,2602.189307
36,0.156434465,0.987688341,0.022438064,0.999748235,1.736433981,0.665576858,1.119887158,2762.82589
37,0.160742566,0.986996367,0.023061235,0.999734054,2.006708995,0.79901321,1.184523382,3144.104856
38,0.165047606,0.986285602,0.023684396,0.999719485,2.083406864,0.839897641,1.188396422,3213.951283
39,0.169349504,0.985556059,0.024307549,0.999704528,2.066213038,0.83243757,1.174175678,3210.651486
40,0.173648178,0.984807753,0.024930692,0.999689182,2.033400688,0.82341741,1.139102515,2627.864248
41,0.177943545,0.984040698,0.025553825,0.999673448,1.977168453,0.793718745,1.112942438,2630.204807
42,0.182235525,0.983254908,0.026176948,0.999657325,1.749715881,0.691930618,1.039678747,2632.076003
43,0.186524036,0.982450398,0.026800061,0.999640814,1.562298873,0.608490335,0.962839162,2616.195991
44,0.190808995,0.981627183,0.027423164,0.999623914,1.569407674,0.605171193,0.962707606,2589.948009
45,0.195090322,0.98078528,0.028046256,0.999606626,1.530851182,0.592797576,0.930423685,2304.062635
46,0.199367934,0.979924705,0.028669337,0.99958895,1.519310948,0.584257039,0.886349567,2291.200079
47,0.203641751,0.979045472,0.029292408,0.999570885,1.492305042,0.56891979,0.845579724,2259.250141
48,0.207911691,0.978147601,0.029915466,0.999552432,1.429860536,0.53755351,0.799141479,2204.631117
49,0.212177672,0.977231106,0.030538513,0.999533591,1.267830836,0.463822303,0.721692448,2159.106605
50,0.216439614,0.976296007,0.031161548,0.999514361,1.090218948,0.431817795,0.655770048,2315.604622
51,0.220697435,0.975342321,0.031784571,0.999494743,0.954246555,0.370379133,0.604573499,2300.623654
52,0.224951054,0.974370065,0.032407582,0.999474736,0.82609106,0.31402785,0.561360383,2296.395361
53,0.229200391,0.973379258,0.03303058,0.999454342,0.763058728,0.286207187,0.535566847,2290.225095
54,0.233445364,0.97236992,0.033653566,0.999433558,0.838988253,0.316876038,0.547081733,2284.679628
55,0.237685892,0.97134207,0.034276538,0.999412387,0.876746753,0.347006151,0.568597573,2498.498315
56,0.241921896,0.970295726,0.034899497,0.999390827,0.861806305,0.340811847,0.567429107,2497.778993
57,0.246153293,0.96923091,0.035522442,0.999368879,0.931945534,0.368081681,0.59719427,2487.972005
58,0.250380004,0.96814764,0.036145374,0.999346542,0.854499304,0.33275333,0.571889859,2474.081032
59,0.254601948,0.967045939,0.036768291,0.999323818,1.032957978,0.407365234,0.627701223,2490.945598
60,0.258819045,0.965925826,0.037391194,0.999300705,1.062015185,0.441993169,0.63419048,2693.387058
61,0.263031214,0.964787324,0.038014083,0.999277204,1.024985455,0.425332258,0.619152089,2691.972828
62,0.267238376,0.963630453,0.038636957,0.999253314,0.954181827,0.395103592,0.595815433,2691.371967
63,0.27144045,0.962455236,0.039259816,0.999229036,0.934647506,0.386568109,0.588830895,2691.250037
64,0.275637356,0.961261696,0.039882659,0.99920437,0.999155087,0.413299292,0.609459983,2692.973879
65,0.279829014,0.960049854,0.040505488,0.999179316,1.050737789,0.440441118,0.634770451,2614.917499
66,0.284015345,0.958819735,0.0411283,0.999153874,1.148207618,0.478569402,0.674197383,2594.917438
67,0.288196268,0.957571361,0.041751096,0.999128043,0.986025342,0.397822816,0.630607478,2512.590536
68,0.292371705,0.956304756,0.042373877,0.999101824,0.906700173,0.359907743,0.609351092,2487.070842
69,0.296541575,0.955019944,0.04299664,0.999075217,0.862036144,0.338960694,0.597219246,2476.212816
70,0.3007058,0.953716951,0.043619387,0.999048222,1.037466476,0.424167346,0.675725436,2429.792251
71,0.304864299,0.9523958,0.044242117,0.999020838,1.126298079,0.465719523,0.701304878,2477.195662
72,0.309016994,0.951056516,0.04486483,0.998993067,1.086271647,0.447722653,0.697193848,2468.856904
73,0.313163806,0.949699126,0.045487526,0.998964907,1.082399595,0.448505865,0.703295044,2505.48798
74,0.317304656,0.948323655,0.046110204,0.998936359,1.071157272,0.445029453,0.700864894,2522.921905
75,0.321439465,0.946930129,0.046732863,0.998907423,1.041037469,0.427875809,0.669484403,2354.108041
76,0.325568154,0.945518576,0.047355505,0.998878099,0.950943084,0.384668244,0.645922439,2331.276379
77,0.329690645,0.94408902,0.047978129,0.998848386,0.81614763,0.326417654,0.600195737,2324.612171
78,0.333806859,0.942641491,0.048600733,0.998818286,0.80665129,0.321861723,0.596126087,2322.843978
79,0.337916718,0.941176015,0.049223319,0.998787798,0.799040737,0.312554962,0.590409324,2317.682424
80,0.342020143,0.939692621,0.049845886,0.998756921,0.77498304,0.283043854,0.566269308,2163.91814
81,0.346117057,0.938191336,0.050468433,0.998725657,0.970350773,0.362717968,0.63434204,2222.353493
82,0.350207381,0.936672189,0.051090961,0.998694004,1.012646444,0.37691945,0.652817808,2258.638084
83,0.354291038,0.93513521,0.051713468,0.998661963,1.116117885,0.417077546,0.690901272,2286.264367
84,0.35836795,0.933580426,0.052335956,0.998629535,1.044813858,0.377321869,0.660588689,2273.19325
85,0.362438038,0.932007869,0.052958424,0.998596718,1.030576714,0.36310942,0.669693847,2119.092042
86,0.366501227,0.930417568,0.05358087,0.998563513,1.136201001,0.405774293,0.88542088,2098.550789
87,0.370557438,0.928809553,0.054203297,0.998529921,1.038281682,0.35675262,0.851936547,2064.947496
88,0.374606593,0.927183855,0.054825701,0.99849594,1.013749476,0.342898875,0.834104982,2051.897464
89,0.378648617,0.925540504,0.055448085,0.998461572,0.963750021,0.316871179,0.813227187,2030.762215
90,0.382683432,0.923879533,0.056070447,0.998426815,0.8261705,0.24175193,0.718337451,1982.03512
91,0.386710962,0.922200972,0.056692788,0.998391671,0.791057043,0.220486766,0.703251167,1974.434979
92,0.390731128,0.920504853,0.057315106,0.998356138,0.781742559,0.216178753,0.709283035,1973.217928
93,0.394743856,0.91879121,0.057937402,0.998320218,0.745297275,0.200582897,0.695463138,1972.058939
94,0.398749069,0.917060074,0.058559675,0.99828391,0.742854583,0.201101093,0.708863414,1977.243197
95,0.40274669,0.915311479,0.059181926,0.998247214,0.73843791,0.196868761,0.732770337,1944.88762
96,0.406736643,0.913545458,0.059804154,0.99821013,0.752996374,0.20433469,0.738149573,1951.430565
97,0.410718853,0.911762044,0.060426358,0.998172658,0.861742505,0.256347379,0.773211598,2042.187867
98,0.414693243,0.909961271,0.06104854,0.998134798,0.854021614,0.254619037,0.771595341,2060.487895
99,0.418659738,0.908143174,0.061670697,0.998096551,0.851805037,0.253669851,0.770671106,2062.538491
100,0.422618262,0.906307787,0.06229283,0.998057916,0.846266821,0.247765386,0.764088032,2022.211393
101,0.42656874,0.904455145,0.062914939,0.998018893,0.840373398,0.245096766,0.763690993,2022.271393
102,0.430511097,0.902585284,0.063537024,0.997979482,0.90823099,0.271716395,0.740245012,2024.211911
103,0.434445257,0.900698239,0.064159084,0.997939684,1.012024996,0.313686233,0.711173035,2027.763716
104,0.438371147,0.898794046,0.064781119,0.997899497,0.996830344,0.306439792,0.695972348,2004.969381
105,0.44228869,0.896872742,0.065403129,0.997858923,0.909952194,0.274045688,0.716559966,1964.034232
106,0.446197813,0.894934362,0.066025114,0.997817962,0.836163672,0.244154758,0.733096665,1955.422843
107,0.450098441,0.892978943,0.066647073,0.997776612,0.798264399,0.227908643,0.755404768,1950.132566
108,0.4539905,0.891006524,0.067269006,0.997734875,0.793095979,0.225451239,0.754506184,1951.722882
109,0.457873915,0.889017141,0.067890912,0.99769275,0.794929089,0.226108022,0.754476511,1953.199049
110,0.461748613,0.887010833,0.068512793,0.997650238,0.7851449,0.223602617,0.752284559,2042.444766
111,0.46561452,0.884987637,0.069134647,0.997607338,0.784797353,0.22372463,0.752677272,2042.484684
